Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,SportsFacility,ATM,ClubHouse,24X7Security,PowerBackup,CarParking,LiftAvailable,furnishing
6.631,1.19,2,1,1,1,1,1,0,1,1,1,1,1,0
10.0,1.766,3,1,1,1,1,1,0,1,1,1,1,1,0
9.879,1.73,3,1,1,1,1,1,0,1,1,1,1,1,0
8.529,1.532,3,1,1,1,1,1,0,1,1,1,1,1,0
7.252,1.305,2,1,1,1,1,0,0,0,1,0,0,0,0
9.037,1.645,3,1,1,1,1,0,0,0,1,0,0,0,0
7.298,1.315,2,1,1,1,1,0,0,0,1,0,0,0,0
10.4,1.95,3,1,1,1,1,0,0,0,1,0,0,0,0
9.52,1.75,3,1,1,1,1,0,0,0,1,0,0,0,0
7.229,1.3,2,1,1,1,1,0,0,0,1,0,0,0,0
9.887,1.83,3,1,1,1,1,0,0,0,1,0,0,0,0
10.3,1.935,3,1,1,1,1,0,0,0,1,0,0,0,0
7.159999,1.285,2,1,1,1,1,0,0,0,1,0,0,0,0
10.7,2.01,3,1,1,1,1,0,0,0,1,0,0,0,0
8.9,1.615,3,1,1,1,1,0,0,0,1,0,0,0,0
9.382,1.72,3,1,1,1,1,0,0,0,1,0,0,0,0
7.344,1.325,2,1,1,1,1,0,0,0,1,0,0,0,0
7.091,1.27,2,1,1,1,1,0,0,0,1,0,0,0,0
6.279,1.32,3,1,1,0,1,0,0,1,0,1,1,1,0
5.306,1.1,2,1,1,0,1,0,0,1,0,1,1,1,0
6.655,1.405,3,1,1,0,1,0,0,1,0,1,1,1,0
5.195,1.075,2,1,1,0,1,0,0,1,0,1,1,1,0
5.483,1.14,2,1,1,0,1,0,0,1,0,1,1,1,0
5.527,1.15,2,1,1,0,1,0,0,1,0,1,1,1,0
6.412,1.35,3,1,1,0,1,0,0,1,0,1,1,1,0
6.036,1.265,3,1,1,0,1,0,0,1,0,1,1,1,0
4.93,1.015,2,1,1,0,1,0,0,1,0,1,1,1,0
6.611,1.395,3,1,1,0,1,0,0,1,0,1,1,1,0
5.173,1.07,2,1,1,0,1,0,0,1,0,1,1,1,0
6.058,1.27,3,1,1,0,1,0,0,1,0,1,1,1,0
6.279,1.32,3,1,1,0,1,0,0,1,0,1,1,1,0
5.085,1.05,2,1,1,0,1,0,0,1,0,1,1,1,0
6.434,1.355,3,1,1,0,1,0,0,1,0,1,1,1,0
5.262,1.09,2,1,1,0,1,0,0,1,0,1,1,1,0
6.681999,1.485,3,1,1,1,0,0,0,0,0,1,0,1,0
6.525,1.45,3,1,1,1,0,0,0,0,0,1,0,1,0
6.997,1.555,3,1,1,1,0,0,0,0,0,1,0,1,0
6.097,1.355,3,1,1,1,0,0,0,0,0,1,0,1,0
6.12,1.36,3,1,1,1,0,0,0,0,0,1,0,1,0
6.142,1.365,3,1,1,1,0,0,0,0,0,1,0,1,0
6.727,1.495,3,1,1,1,0,0,0,0,0,1,0,1,0
6.277,1.395,3,1,1,1,0,0,0,0,0,1,0,1,0
6.75,1.5,3,1,1,1,0,0,0,0,0,1,0,1,0
6.456999,1.435,3,1,1,1,0,0,0,0,0,1,0,1,0
5.24,1.31,3,1,1,1,1,0,0,0,1,1,1,1,0
4.12,1.03,2,1,1,1,1,0,0,0,1,1,1,1,0
7.012,1.275,3,1,1,1,1,0,0,1,1,1,1,1,0
8.195,1.49,3,1,1,1,1,0,0,1,1,1,1,1,0
8.05,1.706,3,1,1,1,0,0,1,1,0,1,1,1,0
5.9,1.258,2,1,1,1,0,0,1,1,0,1,1,1,0
8.1,1.723,3,1,1,1,0,0,1,1,0,1,1,1,0
6.4,1.369,2,1,1,1,0,0,1,1,0,1,1,1,0
6.275,1.335,2,1,1,1,0,0,1,1,0,1,1,1,0
14.4,2.0,3,1,1,1,0,0,0,1,1,1,0,1,0
13.7,1.9,3,1,1,1,0,0,0,1,1,1,0,1,0
11.399999,1.56,3,1,1,1,0,0,0,1,1,1,0,1,0
4.5,1.097,2,1,1,1,1,1,0,1,1,1,0,1,0
5.24,1.31,3,1,1,1,1,0,0,0,1,1,1,1,0
4.12,1.03,2,1,1,1,1,0,0,0,1,1,1,1,0
29.6,3.3,4,1,1,1,1,1,0,1,1,1,0,1,0
8.954,1.216,2,1,1,1,1,0,0,1,1,1,1,1,0
8.8,1.195,2,1,1,1,1,0,0,1,1,1,1,1,0
15.4,2.321,3,1,1,1,1,0,0,1,1,1,1,1,0
11.0,1.655,3,1,1,1,1,0,0,1,1,1,1,1,0
9.122,2.172,3,1,1,1,1,0,0,1,1,1,1,1,0
5.267,1.505,3,1,1,1,0,0,0,0,0,1,0,1,0
3.507,1.002,2,1,1,1,0,0,0,0,0,1,0,1,0
4.816,1.376,3,1,1,1,0,0,0,0,0,1,0,1,0
4.312,1.232,2,1,1,1,0,0,0,0,0,1,0,1,0
5.295,1.513,3,1,1,1,0,0,0,0,0,1,0,1,0
3.696,1.056,2,1,1,1,0,0,0,0,0,1,0,1,0
4.14,1.183,2,1,1,1,0,0,0,0,0,1,0,1,0
3.832,1.095,2,1,1,1,0,0,0,0,0,1,0,1,0
3.377,0.965,2,1,1,1,0,0,0,0,0,1,0,1,0
4.56,1.303,3,1,1,1,0,0,0,0,0,1,0,1,0
5.015,1.433,3,1,1,1,0,0,0,0,0,1,0,1,0
3.769,1.077,2,1,1,1,0,0,0,0,0,1,0,1,0
3.447,0.985,2,1,1,1,0,0,0,0,0,1,0,1,0
4.956,1.416,3,1,1,1,0,0,0,0,0,1,0,1,0
5.323,1.521,3,1,1,1,0,0,0,0,0,1,0,1,0
3.954999,1.13,2,1,1,1,0,0,0,0,0,1,0,1,0
3.419,0.977,2,1,1,1,0,0,0,0,0,1,0,1,0
5.351,1.529,3,1,1,1,0,0,0,0,0,1,0,1,0
4.434,1.267,3,1,1,1,0,0,0,0,0,1,0,1,0
7.837,1.866,3,1,1,1,1,1,0,1,1,1,1,1,0
9.834,2.235,3,1,1,1,1,1,0,1,1,1,1,1,0
8.298999,1.976,3,1,1,1,1,1,0,1,1,1,1,1,0
8.728,2.182,3,1,1,1,1,1,0,1,1,1,1,1,0
9.453,1.725,3,1,1,1,1,1,0,1,1,1,1,1,0
15.0,1.795,2,1,1,1,1,1,0,1,1,1,1,1,2
8.9,1.0,1,1,1,1,1,1,0,1,1,1,1,1,2
14.4,1.74,2,1,1,1,1,1,0,1,1,1,1,1,2
12.7,1.49,2,1,1,1,1,1,0,1,1,1,1,1,2
12.5,1.32,3,1,1,1,1,1,0,1,1,1,1,1,2
20.099999,2.33,4,1,1,1,1,1,0,1,1,1,1,1,2
18.8,2.165,3,1,1,1,1,1,0,1,1,1,1,1,2
13.7,1.645,2,1,1,1,1,1,0,1,1,1,1,1,2
18.9,1.985,3,1,1,1,1,1,0,1,1,1,1,1,2
8.5,1.616,3,1,1,1,1,1,1,1,1,1,1,1,0
12.0,2.225,3,1,1,0,0,1,0,1,1,1,1,1,0
9.0,1.541,3,1,1,0,0,1,0,1,1,1,0,1,0
9.3,1.515,3,1,1,0,0,1,0,1,0,1,0,1,0
11.0,1.69,3,1,1,1,1,1,0,1,1,1,0,1,2
12.0,2.225,3,1,1,0,0,0,0,1,1,1,1,0,0
18.0,1.77,3,1,1,1,1,1,0,1,1,1,1,1,2
29.3,3.012,4,1,1,1,1,1,0,1,1,1,1,1,2
22.799999,2.37,3,1,1,1,1,1,0,1,1,1,1,1,2
3.2,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0
3.2,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0
11.0,1.335,2,1,0,0,0,0,0,1,0,1,0,1,2
9.8,1.69,3,1,1,0,0,1,0,1,0,1,0,1,2
42.5,4.282,4,1,1,1,1,0,0,1,1,1,1,1,0
13.5,1.5,3,1,1,0,1,1,0,1,1,1,1,1,0
15.6,1.88,3,1,0,0,0,0,0,1,0,1,0,1,2
18.9,1.985,3,1,1,1,1,0,0,1,1,1,1,1,0
15.4,1.795,2,1,1,1,1,1,0,1,1,1,1,1,2
12.3,1.41,2,1,1,1,1,1,0,1,1,1,1,1,2
6.845999,1.042,2,1,1,1,1,1,0,1,1,1,1,1,0
9.173,1.408,3,1,1,1,1,1,0,1,1,1,1,1,0
9.471,1.455,3,1,1,1,1,1,0,1,1,1,1,1,0
7.247,1.105,2,1,1,1,1,1,0,1,1,1,1,1,0
5.599,1.12,2,0,0,0,0,0,0,0,0,1,0,1,0
11.8,1.345,1,1,1,1,1,1,0,1,1,1,1,1,0
4.815,1.107,2,1,0,0,0,0,0,0,1,1,0,1,0
4.88,1.122,2,1,0,0,0,0,0,0,1,1,0,1,0
5.05,1.161,2,1,0,0,0,0,0,0,1,1,0,1,0
4.619,1.062,2,1,0,0,0,0,0,0,1,1,0,1,0
4.785,1.1,2,1,0,0,0,0,0,0,1,1,0,1,0
4.972,1.143,2,1,0,0,0,0,0,0,1,1,0,1,0
4.737,1.089,2,1,0,0,0,0,0,0,1,1,0,1,0
4.854,1.116,2,1,0,0,0,0,0,0,1,1,0,1,0
28.3,3.033,4,1,1,1,1,1,0,1,1,1,1,1,0
21.4,2.378,3,1,1,1,1,1,0,1,1,1,1,1,0
23.5,2.522,3,1,1,1,1,1,0,1,1,1,1,1,0
29.9,3.205,4,1,1,1,1,1,0,1,1,1,1,1,0
9.2,1.376,2,1,1,1,1,1,0,1,1,1,1,1,0
8.0,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
9.2,1.373,2,1,1,1,1,1,0,1,1,1,1,1,0
8.0,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
8.0,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
9.3,1.376,2,1,1,1,1,1,0,1,1,1,1,1,0
7.9,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
9.2,1.376,2,1,1,1,1,1,0,1,1,1,1,1,0
9.1,1.373,2,1,1,1,1,1,0,1,1,1,1,1,0
9.0,1.373,2,1,1,1,1,0,0,1,1,1,1,1,0
7.9,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
7.9,1.16,2,1,1,1,1,1,0,1,1,1,1,1,0
8.0,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
7.8,1.16,2,1,1,1,1,1,0,1,1,1,1,1,0
9.2,1.373,2,1,1,1,1,1,0,1,1,1,1,1,0
9.1,1.376,2,1,1,1,1,1,0,1,1,1,1,1,0
9.1,1.373,2,1,1,1,1,1,0,1,1,1,1,1,0
9.0,1.373,2,1,1,1,1,1,0,1,1,1,1,1,0
7.9,1.168,2,1,1,1,1,1,0,1,1,1,1,1,0
8.8,1.373,2,1,1,1,1,1,0,1,1,1,1,1,0
3.99,1.14,3,1,1,1,0,0,0,0,0,1,1,1,0
4.021,1.149,3,1,1,1,0,0,0,0,0,1,1,1,0
4.088,1.168,3,1,1,1,0,0,0,0,0,1,1,1,0
9.06,1.275,2,0,0,0,0,0,0,0,1,0,0,1,0
8.644,1.21,2,0,0,0,0,0,0,0,1,0,0,1,0
